algorithm,merged_id,merge_size,target_example_id,budget_tokens,timing_repeats,runtime_sec,relative_utility_to_exact,total_chunks,total_cost_tokens,selected_chunks,total_selected_cost,budget_utilization,compression_ratio,total_selected_utility,gold_support_total,gold_support_selected,gold_support_recall,exact_gold_support_coverage
greedy_ratio,merge_10_12,10,5a7e0ed25542991319bc9424,2000,10,0.00018190010450780392,0.9999677088108972,436.0,8817.0,170.0,2000.0,1.0,0.22683452421458547,45.06674876441921,2.0,2.0,1.0,1.0
greedy_refine,merge_10_12,10,5a7e0ed25542991319bc9424,2000,10,0.003992800135165453,0.9999677088108972,436.0,8817.0,170.0,2000.0,1.0,0.22683452421458547,45.06674876441921,2.0,2.0,1.0,1.0
exact_dp,merge_10_12,10,5a7e0ed25542991319bc9424,4000,1,0.21460930001921952,1.0,436.0,8817.0,270.0,4000.0,1.0,0.45366904842917094,63.04899600736619,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_12,10,5a7e0ed25542991319bc9424,4000,10,0.00023120013065636158,0.9999411098450943,436.0,8817.0,270.0,4000.0,1.0,0.45366904842917094,63.04528304222467,2.0,2.0,1.0,1.0
greedy_refine,merge_10_12,10,5a7e0ed25542991319bc9424,4000,10,0.0035403999499976635,0.9999411098450943,436.0,8817.0,270.0,4000.0,1.0,0.45366904842917094,63.04528304222467,2.0,2.0,1.0,1.0
exact_dp,merge_10_12,10,5a7e0ed25542991319bc9424,8000,1,0.49928339989855886,1.0,436.0,8817.0,412.0,7999.0,0.999875,0.9072246795962345,83.49405587439563,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_12,10,5a7e0ed25542991319bc9424,8000,10,0.00026769982650876045,1.0,436.0,8817.0,412.0,7999.0,0.999875,0.9072246795962345,83.49405587439563,2.0,2.0,1.0,1.0
greedy_refine,merge_10_12,10,5a7e0ed25542991319bc9424,8000,10,0.0017918001394718885,1.0,436.0,8817.0,412.0,7999.0,0.999875,0.9072246795962345,83.49405587439563,2.0,2.0,1.0,1.0
exact_dp,merge_10_13,10,5a8ce55f554299441c6b9f62,2000,1,0.11739619984291494,1.0,547.0,9121.0,231.0,2000.0,1.0,0.2192742023900888,57.64415017960197,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_13,10,5a8ce55f554299441c6b9f62,2000,10,0.00023079989477992058,0.9998048856177257,547.0,9121.0,231.0,1999.0,0.9995,0.21916456528889375,57.63290297684795,2.0,2.0,1.0,1.0
greedy_refine,merge_10_13,10,5a8ce55f554299441c6b9f62,2000,10,0.011620999779552221,1.0,547.0,9121.0,231.0,2000.0,1.0,0.2192742023900888,57.64415017960197,2.0,2.0,1.0,1.0
exact_dp,merge_10_13,10,5a8ce55f554299441c6b9f62,4000,1,0.2777457998599857,1.0,547.0,9121.0,348.0,4000.0,1.0,0.4385484047801776,83.23073160173307,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_13,10,5a8ce55f554299441c6b9f62,4000,10,0.0002422998659312725,0.9993885787402519,547.0,9121.0,348.0,3995.0,0.99875,0.4380002192742024,83.17984256296738,2.0,2.0,1.0,1.0
greedy_refine,merge_10_13,10,5a8ce55f554299441c6b9f62,4000,10,0.009907699888572097,1.0,547.0,9121.0,348.0,4000.0,1.0,0.4385484047801776,83.23073160173307,2.0,2.0,1.0,1.0
exact_dp,merge_10_13,10,5a8ce55f554299441c6b9f62,8000,1,0.6370318999979645,1.0,547.0,9121.0,517.0,8000.0,1.0,0.8770968095603552,113.54222154191685,2.0,2.0,1.0,1.0
greedy_ratio,merge_10_13,10,5a8ce55f554299441c6b9f62,8000,10,0.0002532999496906996,0.9997005525265819,547.0,9121.0,516.0,7991.0,0.998875,0.8761100756495999,113.50822161054984,2.0,2.0,1.0,1.0
greedy_refine,merge_10_13,10,5a8ce55f554299441c6b9f62,8000,10,0.01032550004310906,0.9999804670975364,547.0,9121.0,516.0,8000.0,1.0,0.8770968095603552,113.54000373277796,2.0,2.0,1.0,1.0
